| 2014-07-02 |               84 |              74 |              94 |               75 |               93 |              66 |             104 |                1,924 |                1,894 |                 0.00 |                  0.16 |                 5.43 |
| 2014-07-04 |               82 |              72 |              91 |               75 |               93 |              66 |             101 |                1,910 |                2,009 |                 0.48 |                  0.15 |                 3.49 |
| 2014-07-06 |               81 |              72 |              89 |               75 |               93 |              63 |             101 |                1,970 |                2,005 |                 0.01 |                  0.15 |                 1.73 |
| 2014-07-07 |               84 |              74 |              93 |               75 |               93 |              62 |             100 |                1,972 |                1,980 |                 0.08 |                  0.15 |                 2.32 |
| 2014-07-20 |               83 |              73 |              93 |               75 |               94 |              69 |             102 |                1,970 |                2,000 |                 0.01 |                  0.11 |                 2.08 |
| 2014-07-24 |               84 |              73 |              94 |               75 |               94 |              68 |             101 |                1,972 |                1,954 |                 0.01 |                  0.10 |                 2.09 |
| 2014-07-25 |               85 |              74 |              95 |               75 |               94 |              65 |             102 |                1,894 |                1,964 |                 0.00 |                  0.10 |                 3.74 |
| 2014-07-27 |               87 |              77 |              97 |               75 |               95 |              66 |             101 |                1,902 |                1,995 |                 0.00 |                  0.10 |                 5.22 |
| 2014-07-28 |               88 |              77 |              99 |               75 |               95 |              66 |             103 |                1,891 |                1,995 |                 0.00 |                  0.10 |                 2.52 |
| 2014-08-01 |               80 |              73 |              87 |               75 |               95 |              67 |             103 |                1,984 |                1,998 |                 0.01 |                  0.10 |                 2.10 |
| 2014-08-02 |               77 |              71 |              82 |               75 |               95 |              68 |             104 |                1,891 |                1,998 |                 0.00 |                  0.10 |                 1.65 |
| 2014-08-03 |               81 |              72 |              89 |               75 |               95 |              66 |             103 |                1,949 |                1,998 |                 0.00 |                  0.10 |                 1.77 |
| 2014-08-04 |               83 |              73 |              92 |               75 |               95 |              63 |             102 |                1,976 |                1,951 |                 0.00 |                  0.11 |                 2.94 |
| 2014-08-05 |               83 |              74 |              92 |               75 |               95 |              64 |             103 |                1,976 |                1,964 |                 0.00 |                  0.10 |                 2.81 |
| 2014-08-11 |               86 |              75 |              97 |               75 |               95 |              65 |             102 |                1,989 |                2,011 |                 0.25 |                  0.10 |                 2.72 |
| 2014-08-16 |               89 |              80 |              98 |               75 |               95 |              63 |             102 |                2,004 |                1,925 |                 0.00 |                  0.12 |                 3.95 |
| 2014-08-23 |               87 |              75 |              98 |               75 |               94 |              64 |             107 |                1,973 |                1,980 |                 0.00 |                  0.13 |                 2.46 |
| 2014-08-25 |               87 |              76 |              97 |               75 |               94 |              55 |             103 |                1,891 |                1,924 |                 0.00 |                  0.13 |                 1.90 |
| 2014-08-30 |               84 |              75 |              92 |               74 |               93 |              62 |             104 |                1,986 |                2,000 |                 0.00 |                  0.15 |                 2.56 |
| 2014-09-07 |               84 |              73 |              95 |               72 |               92 |              59 |              98 |                1,891 |                1,963 |                 0.42 |                  0.15 |                 4.55 |
| 2014-09-11 |               87 |              76 |              97 |               71 |               91 |              56 |              99 |                1,907 |                1,893 |                 0.00 |                  0.15 |                 4.81 |
| 2014-09-12 |               82 |              75 |              89 |               71 |               91 |              56 |             101 |                1,907 |                1,909 |                 0.02 |                  0.15 |                 2.25 |
| 2014-09-14 |               71 |              65 |              77 |               70 |               90 |              55 |             100 |                1,940 |                2,011 |                 0.00 |                  0.15 |                 4.11 |
| 2014-09-16 |               83 |              75 |              91 |               70 |               90 |              53 |              98 |                1,979 |                1,995 |                 0.12 |                  0.13 |                 1.72 |
| 2014-09-17 |               82 |              75 |              89 |               70 |               89 |              55 |             100 |                2,000 |                1,995 |                 0.25 |                  0.13 |                 1.85 |
| 2014-09-27 |               79 |              71 |              86 |               66 |               87 |              45 |             100 |                1,942 |                2,005 |                 0.00 |                  0.13 |                 3.46 |
| 2014-09-28 |               81 |              72 |              89 |               66 |               87 |              48 |              98 |                1,909 |                1,998 |                 0.00 |                  0.13 |                 1.25 |
| 2014-10-03 |               74 |              63 |              84 |               65 |               85 |              45 |              95 |                1,975 |                1,994 |                 0.32 |                  0.17 |                 3.24 |
| 2014-10-07 |               78 |              65 |              90 |               63 |               84 |              46 |              95 |                1,889 |                1,956 |                 0.00 |                  0.17 |                 5.76 |
| 2014-10-08 |               80 |              69 |              90 |               63 |               84 |              42 |              96 |                1,952 |                1,962 |                 0.06 |                  0.17 |                 2.07 |
| 2014-10-11 |               76 |              66 |              85 |               62 |               83 |              44 |              94 |                1,990 |                1,962 |                 0.02 |                  0.18 |                 3.02 |
| 2014-10-21 |               69 |              55 |              82 |               60 |               81 |              33 |              93 |                1,976 |                2,004 |                 0.00 |                  0.21 |                 2.40 |
| 2014-10-23 |               69 |              58 |              80 |               59 |               80 |              40 |              91 |                1,996 |                1,988 |                 0.00 |                  0.20 |                 3.79 |
| 2014-10-26 |               71 |              56 |              85 |               58 |               79 |              39 |              92 |                1,892 |                2,010 |                 0.00 |                  0.20 |                 2.43 |
| 2014-10-31 |               67 |              55 |              79 |               57 |               78 |              29 |              88 |                1,993 |                2,004 |                 0.00 |                  0.16 |                 3.84 |
| 2014-11-01 |               55 |              45 |              65 |               57 |               77 |              35 |              89 |                1,993 |                2,010 |                 0.00 |                  0.15 |                 6.25 |
| 2014-11-04 |               72 |              62 |              82 |               56 |               76 |              28 |              89 |                1,991 |                1,988 |                 0.00 |                  0.16 |                 3.20 |
| 2014-11-05 |               69 |              64 |              74 |               55 |               76 |              31 |              88 |                1,991 |                1,963 |                 1.12 |                  0.16 |                 5.22 |
| 2014-11-12 |               51 |              43 |              58 |               53 |               74 |              32 |              85 |                1,987 |                2,003 |                 0.00 |                  0.15 |                 4.68 |
| 2014-11-13 |               41 |              36 |              45 |               53 |               73 |              29 |              86 |                1,907 |                2,005 |                 0.20 |                  0.14 |                 4.53 |
| 2014-11-15 |               48 |              43 |              53 |               52 |               73 |              25 |              88 |                1,969 |                1,978 |                 0.30 |                  0.14 |                 2.80 |
